Orthogroup	Human_UP000005640_9606	Ephydatia_Emu_v1_prots
OG0004905	sp|Q9UDY4|DNJB4_HUMAN, sp|P25685|DNJB1_HUMAN	Em0014g783a, Em0014g772a
OG0004906	sp|Q8IYD1|ERF3B_HUMAN, sp|P15170|ERF3A_HUMAN	Em0020g863a
OG0004907	sp|Q5VWC8|HACD4_HUMAN, sp|Q9P035|HACD3_HUMAN	Em0009g1152a, Em0009g1134a
OG0004908	sp|Q9BXD5|NPL_HUMAN	Em0006g1181a, Em1027g1a
OG0004910	sp|A6NNY8|UBP27_HUMAN, sp|Q9UPT9|UBP22_HUMAN, sp|Q70EK9|UBP51_HUMAN	Em0630g1a
OG0004911	sp|Q96EK6|GNA1_HUMAN	Em0012g974a
OG0004912	sp|Q9NSE2|CISH_HUMAN, sp|O14508|SOCS2_HUMAN, sp|O15524|SOCS1_HUMAN	Em0020g1056a
OG0004913	sp|Q6ZNJ1|NBEL2_HUMAN, sp|Q6ZS30|NBEL1_HUMAN	Em0020g109a
OG0004914	sp|Q9H422|HIPK3_HUMAN, sp|Q86Z02|HIPK1_HUMAN, sp|Q9H2X6|HIPK2_HUMAN	Em0003g321a
OG0004915	sp|A8MPP1|D11L8_HUMAN, sp|Q96FC9|DDX11_HUMAN, sp|Q92771|DDX12_HUMAN	Em0022g232a
OG0004916	sp|Q9BSJ2|GCP2_HUMAN	Em0001g567a, Em0001g554a
OG0004917	sp|Q9P1F3|ABRAL_HUMAN	Em0007g842a
OG0004918	sp|Q96BJ3|AIDA_HUMAN	Em0019g982a, Em0221g6a, Em0478g6a
OG0004919	sp|Q9C0G6|DYH6_HUMAN	Em0001g1616a, Em0001g1617a
OG0004920	sp|A0A0B4J2F2|SIK1B_HUMAN, sp|P57059|SIK1_HUMAN	Em0006g1249a, Em0249g1a
OG0004921	sp|Q8NI77|KI18A_HUMAN, sp|Q86Y91|KI18B_HUMAN	Em0737g1a, Em0003g1297a
OG0004922	sp|Q9H993|ARMT1_HUMAN	Em0221g2a, Em0019g977a
OG0004924	sp|Q9P2F8|SI1L2_HUMAN, sp|O43166|SI1L1_HUMAN, sp|O60292|SI1L3_HUMAN	Em0014g580a
OG0004925	sp|Q9NQV7|PRDM9_HUMAN, sp|Q9NQW5|PRDM7_HUMAN	Em0017g774a
OG0004927	sp|P43378|PTN9_HUMAN	Em0008g788a, Em0009g1032a
OG0004928	sp|Q9H0G5|NSRP1_HUMAN	Em0015g1292a, Em0015g1273a
OG0004929	sp|Q9HBU6|EKI1_HUMAN, sp|Q9NVF9|EKI2_HUMAN	Em0003g1356a, Em0003g1202a
OG0004930	sp|Q13586|STIM1_HUMAN, sp|Q9P246|STIM2_HUMAN	Em0022g192a
OG0004931	sp|Q99661|KIF2C_HUMAN, sp|O00139|KIF2A_HUMAN, sp|Q8N4N8|KIF2B_HUMAN	Em0011g248a
OG0004932	sp|Q96EQ0|SGTB_HUMAN, sp|O43765|SGTA_HUMAN	Em0011g229a
OG0004933	sp|P43897|EFTS_HUMAN	Em0617g3a, Em0438g5a, Em0005g1675a
OG0004934	sp|P06276|CHLE_HUMAN, sp|P22303|ACES_HUMAN	Em0021g924a
OG0004935	sp|O95801|TTC4_HUMAN	Em0011g1065a
OG0004936	sp|O94760|DDAH1_HUMAN, sp|O95865|DDAH2_HUMAN	Em0016g1030a, Em0016g1031a
OG0004937	sp|O75379|VAMP4_HUMAN	Em0008g147a, Em0021g165a, Em0016g579a
OG0004938	sp|O95870|ABHGA_HUMAN, sp|Q9H3Z7|ABHGB_HUMAN	Em0016g652a, Em0016g659a
OG0004939	sp|Q96A37|RN166_HUMAN	Em0679g3a, Em0677g3a, Em0018g422a
OG0004940	sp|Q9Y5K6|CD2AP_HUMAN, sp|Q96B97|SH3K1_HUMAN	Em0023g946a
OG0004943	sp|Q9Y394|DHRS7_HUMAN	Em0718g5a, Em0019g148a
OG0004944	sp|O15178|TBXT_HUMAN, sp|O60806|TBX19_HUMAN	Em0002g975a, Em0016g577a
OG0004945	sp|Q8TE49|OTU7A_HUMAN, sp|Q6GQQ9|OTU7B_HUMAN	Em0009g643a
OG0004946	sp|Q9UBZ9|REV1_HUMAN	Em0002g1915a, Em0002g1908a, Em0016g586a
OG0004947	sp|A0AVT1|UBA6_HUMAN	Em0009g641a
OG0004948	sp|Q9HCJ3|RAVR2_HUMAN, sp|Q8IY67|RAVR1_HUMAN	Em0011g1056a
OG0004951	sp|Q9UBE8|NLK_HUMAN	Em0015g1255a, Em0597g7a, Em0598g8a
OG0004953	sp|Q96G25|MED8_HUMAN	Em0011g89a, Em0011g106a
OG0004955	sp|Q9UPR3|SMG5_HUMAN	Em0009g678a
OG0004956	sp|Q5T3U5|MRP7_HUMAN	Em0016g11a
OG0004958	sp|Q96BA8|CR3L1_HUMAN, sp|Q70SY1|CR3L2_HUMAN	Em0016g445a, Em0016g420a
OG0004961	sp|Q8IYL2|TRM44_HUMAN	Em0015g1118a, Em0015g1116a
OG0004964	sp|P04406|G3P_HUMAN	Em0008g1110a, Em0015g1286a
OG0004965	sp|Q96BN6|F149B_HUMAN, sp|A5PLN7|F149A_HUMAN	Em0008g1112a
OG0004966	sp|Q9Y6J8|STYL1_HUMAN	Em0015g1256a, Em0597g8a, Em0598g9a
OG0004967	sp|Q00169|PIPNA_HUMAN, sp|P48739|PIPNB_HUMAN	Em0001g210a, Em0015g563a
OG0004968	sp|Q6ZVK8|NUD18_HUMAN	Em0019g745a, Em0016g1043a, Em0016g1042a
OG0004969	sp|Q3KR37|ASTRB_HUMAN, sp|Q96CP6|ASTRA_HUMAN, sp|Q8IYS0|ASTRC_HUMAN	Em0006g863a
OG0004970	sp|Q9BTY7|HGH1_HUMAN	Em0015g1022a
OG0004971	sp|Q9H6Y2|WDR55_HUMAN	Em0022g214a, Em0022g216a
OG0004974	sp|Q70Z53|F10C1_HUMAN	Em0011g303a
OG0004975	sp|Q71RH2|TLC3B_HUMAN, sp|Q8TBR7|TLC3A_HUMAN	Em0015g635a
OG0004976	sp|Q5JUK3|KCNT1_HUMAN, sp|Q6UVM3|KCNT2_HUMAN	Em0016g177a, Em0016g173a
OG0004977	sp|O75496|GEMI_HUMAN	Em0015g688a
OG0004978	sp|Q96HE9|PRR11_HUMAN	Em0017g299a, Em0015g1019a
OG0004979	sp|Q7Z3K6|MIER3_HUMAN, sp|Q8N108|MIER1_HUMAN, sp|Q8N344|MIER2_HUMAN	Em0011g295a
OG0004980	sp|Q99638|RAD9A_HUMAN	Em0015g980a
OG0004982	sp|Q15014|MO4L2_HUMAN, sp|Q9UBU8|MO4L1_HUMAN	Em0001g906a
OG0004983	sp|Q5T890|ER6L2_HUMAN	Em0767g2a, Em0011g744a, Em0011g732a
OG0004985	sp|A3KN83|SBNO1_HUMAN	Em0015g1049a
OG0004986	sp|Q8TDW4|ST7L_HUMAN, sp|Q9NRC1|ST7_HUMAN	Em0015g1020a
OG0004988	sp|P35236|PTN7_HUMAN, sp|Q15256|PTPRR_HUMAN, sp|P54829|PTN5_HUMAN	Em0009g1195a
OG0004991	sp|Q76L83|ASXL2_HUMAN, sp|Q8IXJ9|ASXL1_HUMAN, sp|Q9C0F0|ASXL3_HUMAN	Em0023g66a
OG0004996	sp|Q03111|ENL_HUMAN, sp|P42568|AF9_HUMAN	Em0009g1216a
OG0004997	sp|Q14849|STAR3_HUMAN, sp|P49675|STAR_HUMAN, sp|O95772|STR3N_HUMAN	Em0014g584a
OG0004998	sp|Q7Z739|YTHD3_HUMAN, sp|Q9BYJ9|YTHD1_HUMAN, sp|Q9Y5A9|YTHD2_HUMAN	Em0005g1165a
OG0004999	sp|Q96HR8|NAF1_HUMAN	Em0002g255a, Em0002g268a
OG0005000	sp|Q96LD1|SGCZ_HUMAN, sp|Q92629|SGCD_HUMAN, sp|Q13326|SGCG_HUMAN	Em0022g173a
OG0005001	sp|P10155|RO60_HUMAN	Em0016g52a, Em0016g50a, Em0016g56a
OG0005003	sp|Q6ZRS2|SRCAP_HUMAN	Em0015g552a, Em0015g527a
OG0005004	sp|P37235|HPCL1_HUMAN, sp|P61601|NCALD_HUMAN	Em0009g521a, Em0023g63a
OG0005005	sp|P68400|CSK21_HUMAN, sp|Q8NEV1|CSK23_HUMAN, sp|P19784|CSK22_HUMAN	Em0018g165a
OG0005006	sp|Q6X4W1|NSMF_HUMAN	Em0016g129a
OG0005007	sp|Q9UJQ7|SCP2D_HUMAN	Em0009g1313a
OG0005007	sp|P22307|SCP2_HUMAN	Em0011g1012a
OG0005008	sp|P00519|ABL1_HUMAN	Em0016g78a, Em0016g92a, Em0016g77a
OG0005009	sp|O94808|GFPT2_HUMAN, sp|Q06210|GFPT1_HUMAN	Em0007g981a
OG0005012	sp|Q13371|PHLP_HUMAN, sp|P20941|PHOS_HUMAN	Em0001g198a, Em0152g4a
OG0005013	sp|Q5TDP6|LGSN_HUMAN	Em0019g961a, Em0019g958a
OG0005016	sp|O43741|AAKB2_HUMAN, sp|Q9Y478|AAKB1_HUMAN	Em0017g573a
OG0005017	sp|Q9Y530|OARD1_HUMAN	Em0001g152a, Em0001g187a, Em0001g190a
OG0005018	sp|Q9ULJ1|ODF2L_HUMAN, sp|Q5BJF6|ODFP2_HUMAN	Em0016g57a, Em0016g49a
OG0005019	sp|Q5VV63|ATRN1_HUMAN, sp|O75882|ATRN_HUMAN	Em0013g44a
OG0005020	sp|P55060|XPO2_HUMAN	Em0019g274a, Em0402g2a, Em0019g264a
OG0005021	sp|P14866|HNRPL_HUMAN, sp|Q8WVV9|HNRLL_HUMAN	Em0019g322a
OG0005022	sp|P23786|CPT2_HUMAN	Em0001g3376a, Em0604g4a
OG0005023	sp|Q9BWH6|RPAP1_HUMAN	Em0019g55a, Em0019g58a
OG0005026	sp|Q8WVC0|LEO1_HUMAN	Em0005g68a, Em0005g61a, Em0005g66a
OG0005027	sp|O75586|MED6_HUMAN	Em0665g4a, Em0019g840a
OG0005028	sp|P31213|S5A2_HUMAN, sp|P18405|S5A1_HUMAN	Em0019g887a, Em0019g886a
OG0005030	sp|Q92782|DPF1_HUMAN, sp|Q92784|DPF3_HUMAN, sp|Q92785|REQU_HUMAN	Em0019g347a
OG0005034	sp|Q5VSY0|GKAP1_HUMAN	Em0009g138a, Em0009g162a
OG0005035	sp|Q9NSC5|HOME3_HUMAN, sp|Q86YM7|HOME1_HUMAN, sp|Q9NSB8|HOME2_HUMAN	Em0009g974a
OG0005036	sp|Q9P286|PAK5_HUMAN, sp|O96013|PAK4_HUMAN	Em0028g32a, Em0028g48a
OG0005038	sp|O00422|SAP18_HUMAN	Em0023g595a
OG0005039	sp|P40855|PEX19_HUMAN	Em0005g135a, Em0005g180a, Em0005g149a
OG0005040	sp|Q8N8R3|MCATL_HUMAN	Em0019g903a, Em0019g899a, Em0019g901a
OG0005041	sp|Q9H7E2|TDRD3_HUMAN	Em0022g423a
OG0005042	sp|Q9UKA9|PTBP2_HUMAN, sp|O95758|PTBP3_HUMAN, sp|P26599|PTBP1_HUMAN	Em0011g545a
OG0005043	sp|P22087|FBRL_HUMAN	Em0005g145a, Em0005g176a
OG0005046	sp|P12074|CX6A1_HUMAN, sp|Q02221|CX6A2_HUMAN	Em0008g975a
OG0005047	sp|P49750|YLPM1_HUMAN	Em0028g47a, Em0028g46a, Em0028g33a
OG0005048	sp|Q9Y5Q9|TF3C3_HUMAN	Em0023g379a
OG0005049	sp|Q8N3C0|ASCC3_HUMAN	Em0023g715a, Em0023g722a
OG0005050	sp|Q96CX6|LRC58_HUMAN	Em0005g136a, Em0005g150a, Em0005g181a
OG0005051	sp|Q8N9S9|SNX31_HUMAN, sp|Q15036|SNX17_HUMAN	Em0017g949a
OG0005052	sp|A1IGU5|ARH37_HUMAN, sp|Q9NXL2|ARH38_HUMAN, sp|Q6XZF7|DNMBP_HUMAN	Em0017g23a
OG0005053	sp|Q9H0E7|UBP44_HUMAN, sp|Q70CQ1|UBP49_HUMAN	Em0021g808a, Em0021g777a
OG0005054	sp|Q8IWF9|CCD83_HUMAN	Em0023g481a
OG0005055	sp|Q9NSV4|DIAP3_HUMAN, sp|O60879|DIAP2_HUMAN, sp|O60610|DIAP1_HUMAN	Em0022g422a
OG0005056	sp|Q9NPH2|INO1_HUMAN	Em1158g1a, Em0017g521a
OG0005057	sp|Q86WI1|PKHL1_HUMAN	Em0019g1119a
OG0005059	sp|Q8WV19|SFT2A_HUMAN	Em0023g483a
OG0005061	sp|O94874|UFL1_HUMAN	Em0001g1090a, Em0236g4a, Em0174g4a
OG0005062	sp|Q53FV1|ORML2_HUMAN, sp|Q9P0S3|ORML1_HUMAN, sp|Q8N138|ORML3_HUMAN	Em0004g241a
OG0005064	sp|Q8WY54|PPM1E_HUMAN, sp|P49593|PPM1F_HUMAN	Em0015g1232a, Em0015g1209a
OG0005065	sp|O75306|NDUS2_HUMAN	Em0013g747a, Em0013g760a
OG0005066	sp|Q5TAQ9|DCAF8_HUMAN, sp|P0C7V8|DC8L2_HUMAN, sp|A6NGE4|DC8L1_HUMAN	Em0006g895a
OG0005067	sp|Q9H147|TDIF1_HUMAN	Em0015g1238a, Em0015g1214a, Em0015g1237a
OG0005068	sp|Q9HCN4|GPN1_HUMAN	Em0020g222a, Em0020g209a
OG0005069	sp|Q9BQ49|SMIM7_HUMAN	Em0011g182a, Em0011g188a, Em0011g173a
OG0005071	sp|A8MW95|BECN2_HUMAN, sp|Q14457|BECN1_HUMAN	Em0017g35a, Em0017g41a
OG0005074	sp|Q96JK2|DCAF5_HUMAN	Em0019g892a, Em0019g895a, Em0019g891a
OG0005075	sp|Q15035|TRAM2_HUMAN, sp|Q8N609|TR1L1_HUMAN, sp|Q15629|TRAM1_HUMAN	Em0005g893a
OG0005077	sp|Q13616|CUL1_HUMAN	Em0007g577a
OG0005078	sp|O00303|EIF3F_HUMAN	Em0005g90a, Em0005g80a
OG0005079	sp|P22681|CBL_HUMAN, sp|Q13191|CBLB_HUMAN, sp|Q9ULV8|CBLC_HUMAN	Em0006g1010a
OG0005080	sp|P29375|KDM5A_HUMAN	Em0001g235a
OG0005081	sp|Q5TC82|RC3H1_HUMAN, sp|Q9HBD1|RC3H2_HUMAN	Em0016g989a
OG0005082	sp|P62269|RS18_HUMAN	Em0009g711a, Em0009g694a
OG0005084	sp|Q8NHY2|COP1_HUMAN	Em0016g1019a
OG0005086	sp|Q9BV57|MTND_HUMAN	Em0005g1068a, Em0005g1051a, Em0005g1037a
OG0005087	sp|O95999|BCL10_HUMAN	Em0016g1010a
OG0005088	sp|O14530|TXND9_HUMAN	Em0447g10a
OG0005088	sp|Q13685|AAMP_HUMAN	Em0022g318a
OG0005090	sp|Q07021|C1QBP_HUMAN	Em0015g5a, Em0015g96a
OG0005091	sp|Q96QR8|PURB_HUMAN, sp|Q00577|PURA_HUMAN, sp|Q9UJV8|PURG_HUMAN	Em0017g21a
OG0005092	sp|O95429|BAG4_HUMAN, sp|O95817|BAG3_HUMAN, sp|Q9UL15|BAG5_HUMAN	Em0014g817a
OG0005094	sp|P22314|UBA1_HUMAN	Em0014g12a
OG0005095	sp|Q6NUP7|PP4R4_HUMAN	Em0028g29a, Em0028g1a, Em0028g19a
OG0005096	sp|Q9UJ68|MSRA_HUMAN	Em0013g835a, Em0013g827a, Em0018g33a
OG0005098	sp|Q13907|IDI1_HUMAN, sp|Q9BXS1|IDI2_HUMAN	Em0011g288a
OG0005099	sp|Q8TB40|ABHD4_HUMAN, sp|Q8WTS1|ABHD5_HUMAN	Em0018g49a, Em0018g58a
OG0005100	sp|Q9BSE4|HERP2_HUMAN, sp|Q15011|HERP1_HUMAN	Em0018g507a, Em0440g3a
OG0005101	sp|Q15819|UB2V2_HUMAN, sp|Q13404|UB2V1_HUMAN	Em0018g510a, Em0440g6a
OG0005103	sp|Q8N954|GPT11_HUMAN	Em0019g724a, Em0019g753a, Em0019g767a
OG0005105	sp|Q9Y651|SOX21_HUMAN, sp|O95416|SOX14_HUMAN	Em0021g940a
OG0005106	sp|Q8NF37|PCAT1_HUMAN, sp|Q7L5N7|PCAT2_HUMAN, sp|Q643R3|LPCT4_HUMAN	Em0018g137a
OG0005108	sp|Q6ZVE7|GOT1A_HUMAN, sp|Q9Y3E0|GOT1B_HUMAN	Em0003g817a, Em0003g778a
OG0005109	sp|Q96AE7|TTC17_HUMAN	Em0003g173a, Em0003g178a, Em0003g182a
OG0005110	sp|Q8IU81|I2BP1_HUMAN, sp|Q9H1B7|I2BPL_HUMAN, sp|Q7Z5L9|I2BP2_HUMAN	Em0019g1007a
OG0005112	sp|Q9P2D3|HTR5B_HUMAN, sp|Q86XA9|HTR5A_HUMAN	Em0019g756a
OG0005113	sp|P36957|ODO2_HUMAN	Em0019g562a, Em0019g572a
OG0005114	sp|P11216|PYGB_HUMAN, sp|P11217|PYGM_HUMAN, sp|P06737|PYGL_HUMAN	Em0019g115a
OG0005115	sp|O60524|NEMF_HUMAN	Em0019g1149a, Em0019g1172a, Em0019g1165a
OG0005117	sp|Q8NCW5|NNRE_HUMAN	Em0007g1588a, Em0007g1515a, Em0010g924a
OG0005118	sp|O43852|CALU_HUMAN, sp|Q96D15|RCN3_HUMAN, sp|Q15293|RCN1_HUMAN	Em0003g1834a
OG0005119	sp|Q9UIF8|BAZ2B_HUMAN, sp|Q9UIF9|BAZ2A_HUMAN	Em0007g1360a, Em0064g21a
OG0005120	sp|Q9P1Y6|PHRF1_HUMAN, sp|Q99590|SCAFB_HUMAN, sp|Q9H7N4|SFR19_HUMAN	Em0003g1008a
OG0005121	sp|P58546|MTPN_HUMAN	Em0012g516a
OG0005121	sp|Q8N6D5|ANR29_HUMAN	Em0024g156a
OG0005123	sp|O60516|4EBP3_HUMAN, sp|Q13541|4EBP1_HUMAN, sp|Q13542|4EBP2_HUMAN	Em0010g717a
OG0005124	sp|Q86XF0|DYR2_HUMAN, sp|P00374|DYR_HUMAN	Em0010g921a, Em0010g922a
OG0005125	sp|Q9NZV1|CRIM1_HUMAN	Em0019g601a, Em0705g2a, Em0019g591a
OG0005126	sp|Q13535|ATR_HUMAN	Em0016g527a
OG0005127	sp|O75461|E2F6_HUMAN, sp|Q14209|E2F2_HUMAN, sp|O00716|E2F3_HUMAN	Em0005g1626a
OG0005129	sp|Q9Y6W5|WASF2_HUMAN, sp|Q9UPY6|WASF3_HUMAN, sp|Q92558|WASF1_HUMAN	Em0023g910a
OG0005131	sp|Q8N9V3|WSDU1_HUMAN	Em0007g1465a, Em0007g1449a
OG0005132	sp|Q8N488|RYBP_HUMAN, sp|Q8IY57|YAF2_HUMAN	Em0001g1137a, Em0001g1127a
OG0005133	sp|Q9UPT6|JIP3_HUMAN, sp|O60271|JIP4_HUMAN	Em0023g898a, Em0032g29a
OG0005134	sp|P07339|CATD_HUMAN	Em0003g48a, Em0003g47a, Em0003g49a
OG0005135	sp|Q9P2L0|WDR35_HUMAN	Em0005g1337a, Em0005g1336a
OG0005136	sp|Q9BQK8|LPIN3_HUMAN, sp|Q14693|LPIN1_HUMAN, sp|Q92539|LPIN2_HUMAN	Em0005g1100a
OG0005137	sp|Q9C0B7|TNG6_HUMAN	Em0714g7a, Em0020g1000a
OG0005138	sp|O75420|GGYF1_HUMAN, sp|Q6Y7W6|GGYF2_HUMAN	Em0008g1178a, Em0008g1195a
OG0005139	sp|O75344|FKBP6_HUMAN	Em0305g8a, Em0306g6a, Em0015g738a
OG0005140	sp|Q6SPF0|SAMD1_HUMAN, sp|Q5VXD3|SAM13_HUMAN	Em0008g976a
OG0005141	sp|O95749|GGPPS_HUMAN	Em0007g295a, Em0007g313a
OG0005142	sp|P51797|CLCN6_HUMAN	Em0008g535a
OG0005143	sp|Q96HI0|SENP5_HUMAN, sp|Q9H4L4|SENP3_HUMAN, sp|Q9HC62|SENP2_HUMAN	Em0001g675a
OG0005144	sp|Q9Y2B0|CNPY2_HUMAN, sp|Q3B7I2|CNPY1_HUMAN	Em0007g1463a, Em0007g1447a
OG0005146	sp|Q9BW91|NUDT9_HUMAN	Em0015g1071a, Em0015g1064a
OG0005147	sp|P15882|CHIN_HUMAN, sp|P52757|CHIO_HUMAN	Em0020g101a, Em0020g97a
OG0005148	sp|Q7Z5M8|AB12B_HUMAN, sp|Q8N2K0|ABD12_HUMAN	Em0016g166a
OG0005149	sp|A6ND91|ASPD_HUMAN	Em0015g732a, Em0305g3a
OG0005150	sp|O43903|GAS2_HUMAN, sp|Q86XJ1|GA2L3_HUMAN	Em0021g113a, Em0021g101a
OG0005152	sp|P20594|ANPRB_HUMAN, sp|P16066|ANPRA_HUMAN, sp|P17342|ANPRC_HUMAN	Em0011g518a
OG0005153	sp|Q92545|TM131_HUMAN	Em0008g1108a
OG0005153	sp|A2VDJ0|T131L_HUMAN	Em0015g1289a
OG0005154	sp|Q58FF7|H90B3_HUMAN, sp|P08238|HS90B_HUMAN, sp|P07900|HS90A_HUMAN	Em0019g95a
OG0005155	sp|Q9H0W9|CK054_HUMAN	Em0306g1a, Em0305g1a, Em0015g730a
OG0005156	sp|Q9NRR6|INP5E_HUMAN	Em0484g8a, Em0329g3a, Em0016g215a
OG0005157	sp|Q13608|PEX6_HUMAN	Em0015g1142a, Em0015g1129a
OG0005158	sp|Q96AX1|VP33A_HUMAN	Em0015g124a
OG0005161	sp|Q8WU20|FRS2_HUMAN, sp|O43559|FRS3_HUMAN	Em0021g268a, Em0019g1011a
OG0005162	sp|Q8NBH2|KY_HUMAN, sp|Q96RY5|CRML_HUMAN	Em0001g1073a, Em0001g1111a
OG0005163	sp|Q9HAV7|GRPE1_HUMAN, sp|Q8TAA5|GRPE2_HUMAN	Em0016g419a, Em0016g444a
OG0005164	sp|P0DME0|SETLP_HUMAN, sp|Q01105|SET_HUMAN	Em0016g69a, Em0016g83a
OG0005166	sp|P14868|SYDC_HUMAN	Em0024g52a, Em0024g88a
OG0005167	sp|Q96JB5|CK5P3_HUMAN	Em0007g78a
OG0005169	sp|Q9NZ32|ARP10_HUMAN	Em0019g1097a
OG0005170	sp|P10515|ODP2_HUMAN	Em0005g1346a, Em0849g4a
OG0005172	sp|Q06710|PAX8_HUMAN, sp|Q02548|PAX5_HUMAN, sp|Q02962|PAX2_HUMAN	Em0007g626a
OG0005173	sp|O00499|BIN1_HUMAN, sp|P49418|AMPH_HUMAN, sp|Q9UBW5|BIN2_HUMAN	Em0007g619a
OG0005174	sp|Q96NB3|ZN830_HUMAN	Em0032g28a
OG0005176	sp|Q6BDS2|URFB1_HUMAN, sp|A0JNW5|UH1BL_HUMAN	Em0003g335a, Em0003g342a
OG0005177	sp|Q8NI22|MCFD2_HUMAN	Em0019g82a, Em0019g91a
OG0005178	sp|A2VCK2|DCD2B_HUMAN, sp|A8MYV0|DCD2C_HUMAN, sp|Q9UHG0|DCDC2_HUMAN	Em0005g1183a
OG0005179	sp|Q96EA4|SPDLY_HUMAN	Em0001g726a, Em0001g749a, Em0001g753a
OG0005180	sp|Q9Y6M4|KC1G3_HUMAN, sp|P78368|KC1G2_HUMAN, sp|Q9HCP0|KC1G1_HUMAN	Em0009g278a
OG0005182	sp|P30307|MPIP3_HUMAN, sp|P30304|MPIP1_HUMAN, sp|P30305|MPIP2_HUMAN	Em0013g252a
OG0005184	sp|Q8WW33|GTSF1_HUMAN	Em0005g1177a
OG0005185	sp|Q9P0J1|PDP1_HUMAN, sp|Q9P2J9|PDP2_HUMAN	Em0018g266a
OG0005186	sp|Q6IN85|P4R3A_HUMAN, sp|Q5MIZ7|P4R3B_HUMAN	Em0019g652a
OG0005187	sp|Q59EK9|RUN3A_HUMAN, sp|Q96NL0|RUN3B_HUMAN	Em0024g58a, Em0024g83a
OG0005188	sp|Q14999|CUL7_HUMAN, sp|Q8IWT3|CUL9_HUMAN	Em0019g954a
OG0005189	sp|O94851|MICA2_HUMAN, sp|Q7RTP6|MICA3_HUMAN	Em0017g907a, Em0017g899a
OG0005190	sp|Q12907|LMAN2_HUMAN, sp|Q9H0V9|LMA2L_HUMAN	Em0013g249a
OG0005191	sp|Q9UGP5|DPOLL_HUMAN	Em0139g7a, Em0013g769a
OG0005193	sp|Q7Z3C6|ATG9A_HUMAN	Em0012g1030a, Em0012g1014a
OG0005194	sp|Q9H3S7|PTN23_HUMAN	Em0913g2a, Em0012g1032a
OG0005195	sp|Q7L8J4|3BP5L_HUMAN, sp|O60239|3BP5_HUMAN	Em0005g1519a, Em0005g1520a
OG0005196	sp|Q96GE4|CEP95_HUMAN	Em0020g221a, Em0020g208a, Em0888g2a
OG0005198	sp|Q6ZS86|GLPK5_HUMAN	Em0009g419a, Em0009g430a, Em0009g425a
OG0005199	sp|Q9Y277|VDAC3_HUMAN, sp|P45880|VDAC2_HUMAN, sp|P21796|VDAC1_HUMAN	Em0010g1015a, Em0010g1032a
OG0005200	sp|Q8NDA8|MROH1_HUMAN	Em0018g489a, Em0018g494a
OG0005201	sp|Q5HYI7|MTX3_HUMAN, sp|Q13505|MTX1_HUMAN	Em0018g1076a, Em0018g1027a
OG0005202	sp|Q96GD4|AURKB_HUMAN	Em0018g1081a
OG0005202	sp|O14965|AURKA_HUMAN	Em0018g1021a
OG0005204	sp|Q9BU20|CPLN2_HUMAN	Em0131g6a, Em0008g1191a, Em0008g1174a
OG0005205	sp|O95336|6PGL_HUMAN	Em0419g9a, Em0115g15a, Em0018g247a
OG0005206	sp|O95292|VAPB_HUMAN, sp|Q9P0L0|VAPA_HUMAN	Em0018g222a, Em0053g11a
OG0005208	sp|Q9GZY4|COA1_HUMAN	Em0012g673a, Em0012g666a
OG0005209	sp|Q9UID3|VPS51_HUMAN	Em0013g679a, Em0019g673a, Em0060g5a
OG0005210	sp|Q9BY10|TSCOT_HUMAN, sp|Q7Z3Q1|S46A3_HUMAN, sp|Q96NT5|PCFT_HUMAN	Em0019g949a
OG0005211	sp|Q96N19|G137A_HUMAN, sp|Q8N3F9|G137C_HUMAN, sp|O60478|G137B_HUMAN	Em0019g547a
OG0005212	sp|P04181|OAT_HUMAN	Em0013g271a, Em0008g285a, Em0008g281a
OG0005213	sp|Q8NFU7|TET1_HUMAN, sp|Q6N021|TET2_HUMAN, sp|O43151|TET3_HUMAN	Em0019g1209a
OG0005216	sp|O43670|ZN207_HUMAN	Em0020g454a, Em0020g455a, Em0020g484a
OG0005217	sp|P54252|ATX3_HUMAN, sp|Q9H3M9|ATX3L_HUMAN	Em0018g535a, Em0052g9a
OG0005218	sp|Q96DB5|RMD1_HUMAN	Em0012g1038a, Em0012g1037a, Em0018g388a
OG0005219	sp|O95363|SYFM_HUMAN	Em0419g6a, Em0018g250a, Em0115g12a
OG0005221	sp|Q96MM7|H6ST2_HUMAN, sp|O60243|H6ST1_HUMAN, sp|Q8IZP7|H6ST3_HUMAN	Em0018g1001a
OG0005222	sp|Q9UHR5|S30BP_HUMAN	Em0015g57a
OG0005223	sp|Q9GZZ9|UBA5_HUMAN	Em0012g300a, Em0012g285a
OG0005224	sp|P63241|IF5A1_HUMAN, sp|Q6IS14|IF5AL_HUMAN, sp|Q9GZV4|IF5A2_HUMAN	Em0008g1268a
OG0005225	sp|Q9Y6D5|BIG2_HUMAN, sp|Q9Y6D6|BIG1_HUMAN	Em0023g284a, Em0023g277a
OG0005226	sp|Q6ZNB7|ALKMO_HUMAN	Em0007g12a, Em0248g4a, Em0158g11a
OG0005227	sp|Q9UPU7|TBD2B_HUMAN, sp|Q9BYX2|TBD2A_HUMAN	Em0017g387a, Em0017g386a
OG0005228	sp|P12270|TPR_HUMAN	Em0023g76a
OG0005230	sp|P39880|CUX1_HUMAN, sp|O14529|CUX2_HUMAN	Em0015g705a, Em0015g707a
OG0005231	sp|O75385|ULK1_HUMAN, sp|Q8IYT8|ULK2_HUMAN	Em0015g296a, Em0015g304a
