Orthogroup	Human_UP000005640_9606	Niphates_augustus.hints.aa
OG0005913	sp|Q96SN8|CK5P2_HUMAN	jg9002.t1
OG0005915	sp|Q13439|GOGA4_HUMAN	jg6932.t1
OG0005918	sp|Q9Y2Z2|MTO1_HUMAN	jg17938.t1
OG0005922	sp|Q8N878|FRMD1_HUMAN, sp|Q96NE9|FRMD6_HUMAN	jg18969.t1
OG0005923	sp|Q99720|SGMR1_HUMAN	jg20586.t1
OG0005924	sp|P10746|HEM4_HUMAN	jg12509.t1
OG0005930	sp|P56282|DPOE2_HUMAN	jg4496.t1
OG0005932	sp|Q9UGP8|SEC63_HUMAN	jg18438.t1
OG0005943	sp|Q53FA7|QORX_HUMAN	jg13835.t1
OG0005946	sp|Q9UJ41|RABX5_HUMAN	jg25424.t1, jg9625.t1
OG0005947	sp|Q8TB45|DPTOR_HUMAN	jg6363.t1
OG0005951	sp|Q8IYB7|DI3L2_HUMAN	jg9000.t1
OG0005953	sp|P61970|NTF2_HUMAN	jg1942.t1
OG0005957	sp|Q9Y6N9|USH1C_HUMAN	jg8246.t1
OG0005959	sp|Q14C86|GAPD1_HUMAN	jg21644.t1
OG0005962	sp|Q9H3K2|GHITM_HUMAN	jg8929.t1
OG0005964	sp|Q68CL5|TPGS2_HUMAN	jg11652.t1
OG0005968	sp|Q8N157|AHI1_HUMAN	jg3376.t1
OG0005969	sp|A6NCI4|VWA3A_HUMAN	jg25125.t1
OG0005970	sp|O75534|CSDE1_HUMAN	jg11650.t1
OG0005971	sp|Q15397|PUM3_HUMAN	jg5970.t1
OG0005972	sp|P05455|LA_HUMAN	jg8343.t1
OG0005973	sp|O75486|SUPT3_HUMAN	jg3746.t1, jg3746.t2
OG0005977	sp|Q13057|COASY_HUMAN	jg12389.t1
OG0005979	sp|Q9NRM2|ZN277_HUMAN	jg12390.t1
OG0005983	sp|O14727|APAF_HUMAN	jg8201.t1
OG0005988	sp|Q10471|GALT2_HUMAN	jg15738.t1
OG0005991	sp|Q9UBD5|ORC3_HUMAN	jg6182.t1
OG0005994	sp|P42766|RL35_HUMAN	jg12253.t1
OG0005996	sp|Q9UKF7|PITC1_HUMAN	jg29379.t1
OG0005998	sp|O75330|HMMR_HUMAN	jg29203.t1
OG0006000	sp|Q14667|K0100_HUMAN	jg10218.t1
OG0006002	sp|Q6ZTR5|CFA47_HUMAN	jg24589.t1
OG0006003	sp|Q8IW35|CEP97_HUMAN	jg12793.t1
OG0006005	sp|Q9BX63|FANCJ_HUMAN	jg14332.t1, jg14330.t1
OG0006008	sp|Q969R8|ITFG2_HUMAN	jg17444.t1
OG0006011	sp|Q14CB8|RHG19_HUMAN	jg2472.t1
OG0006018	sp|Q8TBZ6|TM10A_HUMAN	jg7080.t1
OG0006021	sp|Q9UQ90|SPG7_HUMAN	jg25309.t1
OG0006024	sp|Q99417|MYCBP_HUMAN	jg18494.t1
OG0006030	sp|Q96C74|ROP1L_HUMAN	jg11571.t1
OG0006031	sp|Q16394|EXT1_HUMAN	jg12759.t1
OG0006033	sp|O43462|MBTP2_HUMAN	jg14500.t1
OG0006035	sp|Q9BUV8|RCAF1_HUMAN	jg24387.t1
OG0006036	sp|P32754|HPPD_HUMAN	jg17026.t1
OG0006039	sp|Q9H6U6|BCAS3_HUMAN	jg14455.t1
OG0006040	sp|P47224|MSS4_HUMAN	jg24386.t1
OG0006043	sp|Q53H82|LACB2_HUMAN	jg12757.t1
OG0006045	sp|Q8N1B4|VPS52_HUMAN	jg21639.t1
OG0006047	sp|Q92698|RAD54_HUMAN	jg4484.t1
OG0006050	sp|O60942|MCE1_HUMAN	jg12720.t1
OG0006052	sp|O14730|RIOK3_HUMAN	jg12642.t1
OG0006055	sp|Q5SWX8|ODR4_HUMAN	jg8977.t1
OG0006061	sp|P60059|SC61G_HUMAN	jg17385.t1
OG0006063	sp|Q86VW0|SESD1_HUMAN	jg8390.t1
OG0006068	sp|Q8N3J3|HROB_HUMAN	jg12400.t1
OG0006069	sp|P39019|RS19_HUMAN	jg4382.t1, jg21695.t1
OG0006070	sp|Q6P4F2|FDX2_HUMAN	jg6378.t1
OG0006073	sp|Q9BZZ5|API5_HUMAN	jg17405.t1
OG0006080	sp|Q969V3|NCLN_HUMAN	jg7672.t1
OG0006081	sp|Q9HD45|TM9S3_HUMAN	jg12243.t1
OG0006083	sp|Q15126|PMVK_HUMAN	jg7676.t1
OG0006084	sp|Q5JXC2|MIIP_HUMAN	jg7903.t1
OG0006088	sp|Q10713|MPPA_HUMAN	jg23587.t1
OG0006095	sp|Q9Y606|TRUA_HUMAN	jg17968.t1
OG0006096	sp|Q9H8E8|CSR2B_HUMAN	jg7190.t1
OG0006101	sp|Q16540|RM23_HUMAN	jg8507.t1
OG0006106	sp|Q6P3X3|TTC27_HUMAN	jg18031.t1
OG0006116	sp|Q8IV33|K0825_HUMAN	jg894.t2, jg894.t1
OG0006117	sp|Q8NHS4|CLHC1_HUMAN	jg3246.t1
OG0006120	sp|P08574|CY1_HUMAN	jg18087.t1
OG0006125	sp|Q9NPJ6|MED4_HUMAN	jg7196.t1
OG0006126	sp|P0C7P4|UCRIL_HUMAN, sp|P47985|UCRI_HUMAN	jg18088.t1
OG0006128	sp|Q7Z2K6|ERMP1_HUMAN	jg6838.t1
OG0006131	sp|Q9ULK4|MED23_HUMAN	jg14408.t1
OG0006132	sp|O14964|HGS_HUMAN	jg29681.t1
OG0006138	sp|Q6YHU6|THADA_HUMAN	jg4728.t1
OG0006141	sp|Q96D46|NMD3_HUMAN	jg12618.t1
OG0006142	sp|O95352|ATG7_HUMAN	jg3753.t1
OG0006143	sp|Q96BR5|COA7_HUMAN	jg14738.t1
OG0006144	sp|Q15042|RB3GP_HUMAN	jg8340.t1
OG0006146	sp|P49005|DPOD2_HUMAN	jg310.t1, jg29580.t1
OG0006147	sp|Q96TA2|YMEL1_HUMAN	jg17479.t1
OG0006148	sp|Q8NEM0|MCPH1_HUMAN	jg20821.t1
OG0006158	sp|O00522|KRIT1_HUMAN	jg3800.t1
OG0006159	sp|P29803|ODPAT_HUMAN, sp|P08559|ODPA_HUMAN	jg3799.t1
OG0006164	sp|Q13617|CUL2_HUMAN	jg7135.t1
OG0006165	sp|P42785|PCP_HUMAN	jg29087.t1
OG0006166	sp|Q8N0X7|SPART_HUMAN	jg7140.t1
OG0006167	sp|Q9Y2X0|MED16_HUMAN	jg27972.t1
OG0006168	sp|Q4L235|ACSF4_HUMAN	jg3517.t1
OG0006170	sp|Q9Y6R4|M3K4_HUMAN	jg5206.t1
OG0006178	sp|Q9P2G9|KLHL8_HUMAN	jg29112.t1
OG0006181	sp|Q9P2Y5|UVRAG_HUMAN	jg15866.t1
OG0006183	sp|P05387|RLA2_HUMAN	jg17033.t1
OG0006189	sp|Q9NV88|INT9_HUMAN	jg12621.t1
OG0006195	sp|Q9BT92|TCHP_HUMAN	jg13867.t1
OG0006197	sp|Q9NZ71|RTEL1_HUMAN	jg19266.t1
OG0006200	sp|Q07326|PIGF_HUMAN	jg28071.t1
OG0006205	sp|P46952|3HAO_HUMAN	jg11197.t1
OG0006212	sp|Q8WWB7|GLMP_HUMAN	jg6176.t1
OG0006217	sp|Q8N653|LZTR1_HUMAN	jg23615.t1
OG0006223	sp|Q8N9W5|DAAF3_HUMAN	jg21693.t1, jg4380.t1
OG0006231	sp|Q5T4F4|ZFY27_HUMAN	jg2654.t1
OG0006232	sp|Q96MW5|COG8_HUMAN	jg6423.t1, jg1420.t1
OG0006233	sp|Q9P055|JKAMP_HUMAN	jg28336.t1, jg23336.t1
OG0006234	sp|Q5QJE6|TDIF2_HUMAN	jg8857.t1
OG0006238	sp|O60678|ANM3_HUMAN	jg8786.t1
OG0006239	sp|Q9BW27|NUP85_HUMAN	jg29816.t1
OG0006242	sp|Q96BZ9|TBC20_HUMAN	jg1924.t1
OG0006243	sp|O43181|NDUS4_HUMAN	jg6218.t1
OG0006244	sp|Q96G46|DUS3L_HUMAN	jg12763.t1
OG0006247	sp|Q96EU6|RRP36_HUMAN	jg28459.t1, jg28457.t1
OG0006250	sp|P35998|PRS7_HUMAN	jg20765.t1
OG0006251	sp|P17174|AATC_HUMAN	jg8362.t1
OG0006252	sp|P46779|RL28_HUMAN	jg24648.t1, jg12446.t1
OG0006256	sp|Q9NZM5|NOP53_HUMAN	jg4137.t1
OG0006258	sp|Q99459|CDC5L_HUMAN	jg12334.t2, jg12334.t1
OG0006261	sp|Q9UET6|TRM7_HUMAN	jg2242.t1
OG0006265	sp|Q9BU61|NDUF3_HUMAN	jg28430.t1
OG0006266	sp|Q9BRX9|WDR83_HUMAN	jg14739.t1
OG0006267	sp|P58012|FOXL2_HUMAN	jg20626.t1
OG0006268	sp|Q8TDD1|DDX54_HUMAN	jg12754.t1
OG0006270	sp|O75167|PHAR2_HUMAN	jg24691.t1, jg30312.t1, jg24703.t1
OG0006271	sp|Q12797|ASPH_HUMAN	jg12755.t1
OG0006278	sp|Q9Y2D8|ADIP_HUMAN	jg5983.t1, jg24283.t1
OG0006280	sp|Q9NVD7|PARVA_HUMAN, sp|Q9HBI1|PARVB_HUMAN	jg8541.t1
OG0006283	sp|Q9H6R0|DHX33_HUMAN	jg8980.t1
OG0006284	sp|Q9NQE7|TSSP_HUMAN	jg8967.t1
OG0006285	sp|Q8IWX8|CHERP_HUMAN	jg5956.t1
OG0006286	sp|Q8WUX9|CHMP7_HUMAN	jg2616.t1
OG0006287	sp|Q9NPA8|ENY2_HUMAN	jg23842.t1, jg1963.t1
OG0006289	sp|P00505|AATM_HUMAN	jg1964.t1, jg23841.t1
OG0006291	sp|Q9H6X4|TM134_HUMAN	jg13814.t1
OG0006294	sp|Q6ZU64|CFA65_HUMAN	jg14130.t1, jg13095.t1
OG0006295	sp|Q15542|TAF5_HUMAN	jg13097.t1, jg14132.t1
OG0006299	sp|Q96EX3|DC2I2_HUMAN	jg30178.t1, jg29480.t1
OG0006302	sp|P62333|PRS10_HUMAN	jg20267.t1
OG0006304	sp|Q9NW82|WDR70_HUMAN	jg20565.t1
OG0006310	sp|Q9NVZ3|NECP2_HUMAN, sp|Q8NC96|NECP1_HUMAN	jg20566.t1
OG0006311	sp|Q15287|RNPS1_HUMAN	jg24877.t1
OG0006312	sp|P40938|RFC3_HUMAN	jg17791.t1, jg28985.t1
OG0006316	sp|P56597|NDK5_HUMAN	jg11649.t1
OG0006321	sp|P78318|IGBP1_HUMAN, tr|A0A1W2PR95|A0A1W2PR95_HUMAN	jg4705.t1
OG0006325	sp|Q8WTV1|THAP3_HUMAN	m1-g16685.t1
OG0006328	sp|Q8WZA1|PMGT1_HUMAN	jg11312.t1, jg30217.t1
OG0006329	sp|Q9UNH7|SNX6_HUMAN, sp|Q86XE0|SNX32_HUMAN	jg28500.t1
OG0006330	sp|Q96SU4|OSBL9_HUMAN	jg11314.t1, jg30220.t1
OG0006331	sp|Q3ZCV2|LEXM_HUMAN	jg14936.t1
OG0006332	sp|O43815|STRN_HUMAN, sp|Q13033|STRN3_HUMAN	jg28495.t1
OG0006336	sp|Q13156|RFA4_HUMAN, sp|P15927|RFA2_HUMAN	jg20846.t1
OG0006339	sp|Q9Y4Z0|LSM4_HUMAN	jg14714.t1
OG0006340	sp|P43234|CATO_HUMAN	jg3260.t1
OG0006341	sp|Q9BU76|MMTA2_HUMAN	jg7214.t1
OG0006342	sp|Q9H741|SPRNG_HUMAN	jg14428.t1
OG0006343	sp|Q2KHT3|CL16A_HUMAN	jg29459.t1
OG0006345	sp|P07741|APT_HUMAN	jg14426.t1
OG0006348	sp|Q9Y519|T184B_HUMAN, sp|Q6ZMB5|T184A_HUMAN	jg29460.t1
OG0006351	sp|A5PLL7|PDES1_HUMAN	jg1891.t1
OG0006352	sp|Q9UBI1|COMD3_HUMAN	jg273.t1, jg27990.t1
OG0006353	sp|Q9NUW8|TYDP1_HUMAN	jg26878.t1, jg24159.t1
OG0006354	sp|Q92685|ALG3_HUMAN	jg28202.t1
OG0006355	sp|Q49B96|COX19_HUMAN	jg1894.t1
OG0006359	sp|Q9HBM6|TAF9B_HUMAN, sp|Q16594|TAF9_HUMAN	jg12188.t1
OG0006360	sp|Q96DM3|RMC1_HUMAN	jg22465.t1
OG0006361	sp|Q8WVM0|TFB1M_HUMAN, sp|Q9H4L7|SMRCD_HUMAN	jg3755.t1
OG0006365	sp|P36551|HEM6_HUMAN	jg3219.t1
OG0006368	sp|Q9H477|RBSK_HUMAN	jg27939.t1
OG0006371	sp|A8MV24|CQ098_HUMAN	jg9825.t1
OG0006372	sp|O14576|DC1I1_HUMAN, sp|Q13409|DC1I2_HUMAN	jg9827.t1
OG0006373	sp|Q567U6|CCD93_HUMAN	jg8757.t1, jg11724.t1
OG0006374	sp|Q7LG56|RIR2B_HUMAN, sp|P31350|RIR2_HUMAN	jg6794.t1
OG0006376	sp|Q13474|DRP2_HUMAN	jg3511.t1
OG0006377	sp|Q53HV7|SMUG1_HUMAN	jg21721.t1, jg9824.t1
OG0006379	sp|Q8NC51|PAIRB_HUMAN, sp|Q5JVS0|HABP4_HUMAN	jg6792.t1
OG0006380	sp|Q9UER7|DAXX_HUMAN	jg6788.t1
OG0006385	sp|Q9NQ94|A1CF_HUMAN	jg11257.t1, jg11257.t2
OG0006386	sp|Q9Y285|SYFA_HUMAN	jg14706.t1, jg16132.t1
OG0006387	sp|P60174|TPIS_HUMAN	jg3412.t1
OG0006388	sp|Q92562|FIG4_HUMAN	jg18527.t1
OG0006389	sp|P48637|GSHB_HUMAN	jg1617.t1, jg15713.t1, jg16984.t1
OG0006391	sp|P30876|RPB2_HUMAN	jg2680.t1
OG0006392	sp|Q8NBM4|UBAC2_HUMAN	jg12206.t1
OG0006393	sp|Q68CP4|HGNAT_HUMAN	jg11006.t1
OG0006394	sp|P16333|NCK1_HUMAN, sp|O43639|NCK2_HUMAN	jg12210.t1
OG0006395	sp|Q9HCE5|MET14_HUMAN	jg4703.t1
OG0006398	sp|Q14680|MELK_HUMAN	jg11741.t1
OG0006400	sp|Q86XP3|DDX42_HUMAN	jg11736.t1
OG0006403	sp|Q13564|ULA1_HUMAN	jg12267.t1
OG0006405	sp|A6NE52|WDR97_HUMAN	jg16953.t1
OG0006407	sp|Q96LB3|IFT74_HUMAN	jg2222.t1
OG0006409	sp|Q8NCE2|MTMRE_HUMAN, sp|Q8IZL9|CDK20_HUMAN	jg14515.t1
OG0006411	sp|O95479|G6PE_HUMAN	jg24451.t1, jg11283.t1
OG0006413	sp|Q8N1T3|MYO1H_HUMAN, sp|O00159|MYO1C_HUMAN	jg11515.t1
OG0006415	sp|Q9H7X7|IFT22_HUMAN	jg11517.t1
OG0006416	sp|Q49AH0|CDNF_HUMAN, sp|P55145|MANF_HUMAN	jg14516.t1
OG0006419	sp|O00217|NDUS8_HUMAN	jg24744.t1, jg20347.t1
OG0006420	sp|O75575|RPC9_HUMAN	jg8054.t1, jg18314.t1
OG0006423	sp|Q9BRX2|PELO_HUMAN	jg20346.t1, jg24743.t1
OG0006429	sp|P53671|LIMK2_HUMAN, sp|P53667|LIMK1_HUMAN	jg18318.t1
OG0006430	sp|P62314|SMD1_HUMAN	jg24236.t1
OG0006431	sp|Q8N983|RM43_HUMAN	jg10510.t1, jg22739.t1
OG0006432	sp|Q86X19|TMM17_HUMAN	jg20359.t1, jg24757.t1
OG0006433	sp|Q9BXY0|MAK16_HUMAN	jg2647.t1
OG0006434	sp|Q96DB2|HDA11_HUMAN	jg28820.t1, jg24891.t1
OG0006436	sp|Q8NEA6|GLIS3_HUMAN, sp|Q8NBF1|GLIS1_HUMAN	jg6812.t1
OG0006437	sp|Q15020|SART3_HUMAN	jg28815.t1, jg28811.t1
OG0006438	sp|Q9UI09|NDUAC_HUMAN	jg4624.t1
OG0006439	sp|Q8WYB5|KAT6B_HUMAN, sp|Q92794|KAT6A_HUMAN	jg11715.t1
OG0006440	sp|Q8TBM8|DJB14_HUMAN, sp|Q9NXW2|DJB12_HUMAN, sp|Q9H819|DJC18_HUMAN	jg20175.t1
OG0006441	sp|Q9H4K1|RIBC2_HUMAN	jg24890.t1, jg28819.t1
OG0006442	sp|P83876|TXN4A_HUMAN	jg8182.t2, jg8182.t1
OG0006443	sp|P53041|PPP5_HUMAN, sp|E7EU14|PP5D1_HUMAN	jg6389.t1
OG0006444	sp|P25440|BRD2_HUMAN	jg14669.t1
OG0006445	sp|O75312|ZPR1_HUMAN	jg23802.t2, jg23802.t1
OG0006447	sp|Q9H173|SIL1_HUMAN	jg2655.t1
OG0006448	sp|O14717|TRDMT_HUMAN	jg28816.t1
OG0006449	sp|P16455|MGMT_HUMAN	jg28402.t1, jg28400.t1
OG0006450	sp|Q8N9N7|LRC57_HUMAN	jg6385.t1
OG0006451	sp|P54098|DPOG1_HUMAN	jg922.t1
OG0006453	sp|Q8WUQ7|CATIN_HUMAN	jg913.t1
OG0006455	sp|P18859|ATP5J_HUMAN	jg8175.t2, jg8175.t1
OG0006456	sp|P00395|COX1_HUMAN	jg24529.t1, jg24531.t1
OG0006457	sp|P07311|ACYP1_HUMAN, sp|P14621|ACYP2_HUMAN	jg3600.t1, jg4197.t1
OG0006458	sp|Q9Y2K9|STB5L_HUMAN, sp|Q5T5C0|STXB5_HUMAN	jg18552.t1
OG0006459	sp|Q86TH1|ATL2_HUMAN	jg19191.t1, jg19191.t2
OG0006464	sp|Q8TED0|UTP15_HUMAN	jg909.t1
OG0006465	sp|Q9NQZ5|STAR7_HUMAN	jg8177.t1
OG0006466	sp|A6NLP5|TTC36_HUMAN	jg6386.t1
OG0006469	sp|A6NKF2|ARI3C_HUMAN, sp|Q99856|ARI3A_HUMAN, sp|Q8IVW6|ARI3B_HUMAN	jg903.t1
OG0006472	sp|Q9P0M6|H2AW_HUMAN, sp|O75367|H2AY_HUMAN	jg24238.t1
OG0006473	sp|Q96GG9|DCNL1_HUMAN	jg12233.t1
OG0006474	sp|Q9Y3Q3|TMED3_HUMAN, sp|Q9Y3B3|TMED7_HUMAN	jg4580.t1
OG0006475	sp|P34949|MPI_HUMAN	jg12238.t1
OG0006478	sp|O96011|PX11B_HUMAN, sp|O75192|PX11A_HUMAN	jg878.t1
OG0006479	sp|Q9H1U9|S2551_HUMAN, sp|Q3SY17|S2552_HUMAN	jg12634.t1
OG0006483	sp|Q6ZMI0|PPR21_HUMAN	jg1525.t1
OG0006484	sp|Q9UPR6|ZFR2_HUMAN, sp|Q96KR1|ZFR_HUMAN	jg870.t1
OG0006488	sp|Q96M91|CFA53_HUMAN	jg860.t1
OG0006490	sp|Q9HAB8|PPCS_HUMAN	jg3398.t1
OG0006491	sp|Q9BY49|PECR_HUMAN	jg3396.t1, jg3395.t1
OG0006494	sp|P60228|EIF3E_HUMAN	jg3386.t1
OG0006495	sp|Q969T7|5NT3B_HUMAN, sp|Q9H0P0|5NT3A_HUMAN	jg4612.t1
OG0006497	sp|Q6ZYL4|TF2H5_HUMAN	jg17838.t1
OG0006498	sp|Q9NVA4|T184C_HUMAN	jg29200.t1
OG0006500	sp|Q01804|OTUD4_HUMAN	jg4111.t1
OG0006501	sp|Q8NDL9|CBPC5_HUMAN	jg17836.t1
OG0006503	sp|Q5T4T6|SYC2L_HUMAN, sp|Q9BX26|SYCP2_HUMAN	jg3393.t1
OG0006505	sp|Q9Y399|RT02_HUMAN	jg10268.t1, jg26696.t1
OG0006506	sp|Q9H553|ALG2_HUMAN	jg4504.t1
OG0006507	sp|Q6ZQR2|CFA77_HUMAN	jg14644.t1
OG0006508	sp|Q12894|IFRD2_HUMAN, sp|O00458|IFRD1_HUMAN	jg14632.t1
OG0006510	sp|Q9UBF8|PI4KB_HUMAN	jg8943.t1
OG0006511	sp|Q5SVS4|KMCP1_HUMAN, sp|O95258|UCP5_HUMAN	jg1498.t1
OG0006513	sp|Q9BXI6|TB10A_HUMAN, sp|Q4KMP7|TB10B_HUMAN	jg13963.t1
OG0006514	sp|O75323|NIPS2_HUMAN, sp|Q9BPW8|NIPS1_HUMAN	jg4476.t1
OG0006515	sp|Q96GR4|ZDH12_HUMAN	jg8965.t1, jg8962.t1
OG0006516	sp|Q9UBR1|BUP1_HUMAN	jg1728.t1, jg16633.t1
OG0006517	sp|P99999|CYC_HUMAN	jg8944.t1
OG0006518	sp|A0JLT2|MED19_HUMAN	jg13965.t1
OG0006519	sp|Q99700|ATX2_HUMAN, sp|Q8WWM7|ATX2L_HUMAN	jg13956.t1
OG0006520	sp|Q9NZD2|GLTP_HUMAN	jg10194.t1
OG0006523	sp|Q13111|CAF1A_HUMAN	jg939.t1
OG0006524	sp|Q8N4T4|ARG39_HUMAN	jg16634.t1, jg1729.t1
OG0006527	sp|Q8TCX1|DC2L1_HUMAN	jg14729.t1
OG0006529	sp|O43776|SYNC_HUMAN	jg18754.t1
OG0006530	sp|Q15907|RB11B_HUMAN, sp|P62491|RB11A_HUMAN	jg4558.t1
OG0006531	sp|Q15813|TBCE_HUMAN	jg20334.t1, jg24727.t1
OG0006532	sp|Q96DR7|ARHGQ_HUMAN, sp|Q5VV41|ARHGG_HUMAN	jg20537.t1, jg20537.t2
OG0006534	sp|Q7Z4I7|LIMS2_HUMAN, sp|P48059|LIMS1_HUMAN	jg934.t1
OG0006536	sp|P57075|UBS3A_HUMAN, sp|Q8TF42|UBS3B_HUMAN	jg4361.t1
OG0006537	sp|Q96GY0|ZC21A_HUMAN, sp|Q5TFG8|ZC21B_HUMAN	jg12682.t1
OG0006540	sp|Q9H0M4|ZCPW1_HUMAN	jg20536.t1
OG0006541	sp|Q8TBP0|TBC16_HUMAN	jg29740.t1
OG0006542	sp|P0CG08|GPHRB_HUMAN, sp|B7ZAQ6|GPHRA_HUMAN	jg23788.t1
OG0006544	sp|Q9HC07|TM165_HUMAN	jg4762.t1
OG0006546	sp|Q9UNZ2|NSF1C_HUMAN, sp|Q14CS0|UBX2B_HUMAN	jg18138.t1
OG0006550	sp|Q92542|NICA_HUMAN	jg23782.t1, jg23785.t1
OG0006551	sp|Q8NB37|GALD1_HUMAN	jg8218.t1, jg6080.t1
OG0006552	sp|O75807|PR15A_HUMAN, sp|Q5SWA1|PR15B_HUMAN	jg8200.t1
OG0006553	sp|A4QPB2|LRP5L_HUMAN	jg17987.t1
OG0006554	sp|Q6ICG6|K0930_HUMAN	jg8215.t1, jg6077.t1
OG0006555	sp|Q6ZN84|CCD81_HUMAN	jg7731.t1, jg16558.t1
OG0006556	sp|Q9Y4E6|WDR7_HUMAN, sp|Q3MJ13|WDR72_HUMAN	jg11636.t1
OG0006557	sp|P49336|CDK8_HUMAN, sp|Q9BWU1|CDK19_HUMAN	jg16561.t1
OG0006558	sp|Q9NWT1|PK1IP_HUMAN	jg24108.t1, jg1064.t1
OG0006559	sp|P17568|NDUB7_HUMAN	jg30223.t1, jg11317.t1
OG0006562	sp|Q9NWT6|HIF1N_HUMAN	jg4638.t1
OG0006563	sp|Q9UL45|BL1S6_HUMAN	jg11634.t1
OG0006566	sp|Q9NQ39|RS10L_HUMAN, sp|P46783|RS10_HUMAN	jg17998.t1
OG0006567	sp|Q8TDZ2|MICA1_HUMAN	jg21024.t1, jg19898.t1
OG0006570	sp|Q6TDU7|DNAI7_HUMAN	jg17999.t1
OG0006571	sp|Q8WUX2|CHAC2_HUMAN	jg23059.t1
OG0006572	sp|Q9NUM3|S39A9_HUMAN	jg23057.t1
OG0006573	sp|Q92466|DDB2_HUMAN	jg8471.t1
OG0006576	sp|P16260|GDC_HUMAN	jg6069.t1, jg1406.t1
OG0006578	sp|Q8TAF3|WDR48_HUMAN	jg12673.t1
OG0006579	sp|Q9NX57|RAB20_HUMAN	jg12809.t1
OG0006580	sp|Q13190|STX5_HUMAN	jg23064.t1
OG0006582	sp|Q9UQ07|MOK_HUMAN	jg28329.t2, jg28329.t1
OG0006584	sp|P52701|MSH6_HUMAN	jg13257.t1
OG0006585	sp|O60216|RAD21_HUMAN, sp|Q9H4I0|RD21L_HUMAN	jg12666.t1
OG0006586	sp|Q8IWA6|CCD60_HUMAN	jg18692.t1
OG0006588	sp|Q8IXI2|MIRO1_HUMAN, sp|Q8IXI1|MIRO2_HUMAN	jg949.t1
OG0006589	sp|Q9BT43|RPC7L_HUMAN, sp|O15318|RPC7_HUMAN	jg12672.t1
OG0006591	sp|P20042|IF2B_HUMAN	jg17552.t1
OG0006592	sp|P60880|SNP25_HUMAN, sp|O00161|SNP23_HUMAN	jg28313.t1
OG0006593	sp|Q562E7|WDR81_HUMAN	jg28315.t1
OG0006594	sp|Q16533|SNPC1_HUMAN	jg6001.t1, jg567.t1
OG0006595	sp|Q70E73|RAPH1_HUMAN, sp|Q7Z5R6|AB1IP_HUMAN	jg16038.t1
OG0006596	sp|Q8TEY5|CR3L4_HUMAN, sp|Q68CJ9|CR3L3_HUMAN	jg18693.t1
OG0006597	sp|Q6PGQ7|BORA_HUMAN	jg19924.t1, jg6303.t1
OG0006598	sp|O95807|TM50A_HUMAN, sp|P56557|TM50B_HUMAN	jg12667.t1
OG0006600	sp|O43324|MCA3_HUMAN	jg20022.t1, jg3366.t1
OG0006601	sp|P37108|SRP14_HUMAN	jg20030.t1, jg3371.t1
OG0006602	sp|P09661|RU2A_HUMAN	jg30206.t1, jg11299.t1
OG0006603	sp|P52758|RIDA_HUMAN	jg3370.t1, jg20031.t1
OG0006604	sp|Q5VTQ0|TT39B_HUMAN, sp|Q5SRH9|TT39A_HUMAN	jg6007.t1
OG0006605	sp|Q04671|P_HUMAN	jg29006.t1
OG0006607	sp|Q9Y5T4|DJC15_HUMAN, sp|Q96DA6|TIM14_HUMAN	jg20021.t1, jg3367.t1
OG0006608	sp|P27707|DCK_HUMAN	jg30314.t1, jg24689.t1, jg22616.t1
OG0006609	sp|Q6STE5|SMRD3_HUMAN, sp|Q96GM5|SMRD1_HUMAN	jg7216.t1
OG0006610	sp|O14802|RPC1_HUMAN	jg13827.t1
OG0006611	sp|Q9NQG7|HPS4_HUMAN	jg16212.t1, jg15563.t1
OG0006612	sp|Q9BW62|KATL1_HUMAN, sp|O75449|KTNA1_HUMAN	jg18711.t1
OG0006613	sp|Q9BSU1|PHAF1_HUMAN	jg16209.t1, jg15560.t1
OG0006615	sp|Q8N1D5|CA158_HUMAN	jg23387.t1, jg2858.t1
OG0006616	sp|Q13823|NOG2_HUMAN	jg8518.t1, jg26856.t1
OG0006617	sp|Q9Y3D6|FIS1_HUMAN	jg8273.t1
OG0006618	sp|Q96RS0|TGS1_HUMAN	jg8349.t1
OG0006620	sp|Q8IWE2|NXP20_HUMAN, sp|Q9NRY5|F1142_HUMAN	jg20894.t1, jg24089.t1
OG0006621	sp|Q9Y584|TIM22_HUMAN	jg16210.t1, jg15561.t1
OG0006622	sp|Q9BQD3|KXDL1_HUMAN	jg15557.t1, jg16206.t1
OG0006623	sp|Q9Y5R8|TPPC1_HUMAN	jg14601.t1
OG0006624	sp|Q9Y296|TPPC4_HUMAN	jg24088.t1, jg20895.t1
OG0006625	sp|Q8NE18|NSUN7_HUMAN	jg23230.t1
OG0006626	sp|Q07960|RHG01_HUMAN, sp|P85298|RHG08_HUMAN	jg27193.t1
OG0006627	sp|P62826|RAN_HUMAN	jg14417.t1
OG0006628	sp|Q9P0T7|TMEM9_HUMAN, sp|Q9NQ34|TMM9B_HUMAN	jg8516.t1
OG0006629	sp|Q7Z4H8|PLGT3_HUMAN, sp|Q6UW63|PLGT2_HUMAN	jg24213.t1
OG0006630	sp|O43156|TTI1_HUMAN	jg14604.t1
OG0006631	sp|Q14684|RRP1B_HUMAN, sp|P56182|RRP1_HUMAN	jg8425.t1
OG0006632	sp|Q9NYS0|KBRS1_HUMAN, sp|Q9NYR9|KBRS2_HUMAN	jg8415.t1
