Orthogroup	Ephydatia_Emu_v1_prots	Human_UP000005640_9606
OG0005182	Em0013g252a	sp|P30307|MPIP3_HUMAN, sp|P30304|MPIP1_HUMAN, sp|P30305|MPIP2_HUMAN
OG0005184	Em0005g1177a	sp|Q8WW33|GTSF1_HUMAN
OG0005185	Em0018g266a	sp|Q9P0J1|PDP1_HUMAN, sp|Q9P2J9|PDP2_HUMAN
OG0005186	Em0019g652a	sp|Q6IN85|P4R3A_HUMAN, sp|Q5MIZ7|P4R3B_HUMAN
OG0005187	Em0024g58a, Em0024g83a	sp|Q59EK9|RUN3A_HUMAN, sp|Q96NL0|RUN3B_HUMAN
OG0005188	Em0019g954a	sp|Q14999|CUL7_HUMAN, sp|Q8IWT3|CUL9_HUMAN
OG0005189	Em0017g907a, Em0017g899a	sp|O94851|MICA2_HUMAN, sp|Q7RTP6|MICA3_HUMAN
OG0005190	Em0013g249a	sp|Q12907|LMAN2_HUMAN, sp|Q9H0V9|LMA2L_HUMAN
OG0005191	Em0139g7a, Em0013g769a	sp|Q9UGP5|DPOLL_HUMAN
OG0005193	Em0012g1030a, Em0012g1014a	sp|Q7Z3C6|ATG9A_HUMAN
OG0005194	Em0913g2a, Em0012g1032a	sp|Q9H3S7|PTN23_HUMAN
OG0005195	Em0005g1519a, Em0005g1520a	sp|Q7L8J4|3BP5L_HUMAN, sp|O60239|3BP5_HUMAN
OG0005196	Em0020g221a, Em0020g208a, Em0888g2a	sp|Q96GE4|CEP95_HUMAN
OG0005198	Em0009g419a, Em0009g430a, Em0009g425a	sp|Q6ZS86|GLPK5_HUMAN
OG0005199	Em0010g1015a, Em0010g1032a	sp|Q9Y277|VDAC3_HUMAN, sp|P45880|VDAC2_HUMAN, sp|P21796|VDAC1_HUMAN
OG0005200	Em0018g489a, Em0018g494a	sp|Q8NDA8|MROH1_HUMAN
OG0005201	Em0018g1076a, Em0018g1027a	sp|Q5HYI7|MTX3_HUMAN, sp|Q13505|MTX1_HUMAN
OG0005202	Em0018g1081a	sp|Q96GD4|AURKB_HUMAN
OG0005202	Em0018g1021a	sp|O14965|AURKA_HUMAN
OG0005204	Em0131g6a, Em0008g1191a, Em0008g1174a	sp|Q9BU20|CPLN2_HUMAN
OG0005205	Em0419g9a, Em0115g15a, Em0018g247a	sp|O95336|6PGL_HUMAN
OG0005206	Em0018g222a, Em0053g11a	sp|O95292|VAPB_HUMAN, sp|Q9P0L0|VAPA_HUMAN
OG0005208	Em0012g673a, Em0012g666a	sp|Q9GZY4|COA1_HUMAN
OG0005209	Em0013g679a, Em0019g673a, Em0060g5a	sp|Q9UID3|VPS51_HUMAN
OG0005210	Em0019g949a	sp|Q9BY10|TSCOT_HUMAN, sp|Q7Z3Q1|S46A3_HUMAN, sp|Q96NT5|PCFT_HUMAN
OG0005211	Em0019g547a	sp|Q96N19|G137A_HUMAN, sp|Q8N3F9|G137C_HUMAN, sp|O60478|G137B_HUMAN
OG0005212	Em0013g271a, Em0008g285a, Em0008g281a	sp|P04181|OAT_HUMAN
OG0005213	Em0019g1209a	sp|Q8NFU7|TET1_HUMAN, sp|Q6N021|TET2_HUMAN, sp|O43151|TET3_HUMAN
OG0005216	Em0020g454a, Em0020g455a, Em0020g484a	sp|O43670|ZN207_HUMAN
OG0005217	Em0018g535a, Em0052g9a	sp|P54252|ATX3_HUMAN, sp|Q9H3M9|ATX3L_HUMAN
OG0005218	Em0012g1038a, Em0012g1037a, Em0018g388a	sp|Q96DB5|RMD1_HUMAN
OG0005219	Em0419g6a, Em0018g250a, Em0115g12a	sp|O95363|SYFM_HUMAN
OG0005221	Em0018g1001a	sp|Q96MM7|H6ST2_HUMAN, sp|O60243|H6ST1_HUMAN, sp|Q8IZP7|H6ST3_HUMAN
OG0005222	Em0015g57a	sp|Q9UHR5|S30BP_HUMAN
OG0005223	Em0012g300a, Em0012g285a	sp|Q9GZZ9|UBA5_HUMAN
OG0005224	Em0008g1268a	sp|P63241|IF5A1_HUMAN, sp|Q6IS14|IF5AL_HUMAN, sp|Q9GZV4|IF5A2_HUMAN
OG0005225	Em0023g284a, Em0023g277a	sp|Q9Y6D5|BIG2_HUMAN, sp|Q9Y6D6|BIG1_HUMAN
OG0005226	Em0007g12a, Em0248g4a, Em0158g11a	sp|Q6ZNB7|ALKMO_HUMAN
OG0005227	Em0017g387a, Em0017g386a	sp|Q9UPU7|TBD2B_HUMAN, sp|Q9BYX2|TBD2A_HUMAN
OG0005228	Em0023g76a	sp|P12270|TPR_HUMAN
OG0005230	Em0015g705a, Em0015g707a	sp|P39880|CUX1_HUMAN, sp|O14529|CUX2_HUMAN
OG0005231	Em0015g296a, Em0015g304a	sp|O75385|ULK1_HUMAN, sp|Q8IYT8|ULK2_HUMAN
OG0005232	Em0015g87a	sp|Q6ZMD2|SPNS3_HUMAN, sp|Q9H2V7|SPNS1_HUMAN, sp|Q8IVW8|SPNS2_HUMAN
OG0005233	Em0013g533a	sp|Q8NFC6|BD1L1_HUMAN, sp|Q96IK1|BOD1_HUMAN, sp|Q8IYS8|BD1L2_HUMAN
OG0005234	Em0023g556a	sp|Q86XR8|CEP57_HUMAN, sp|Q8IYX8|CE57L_HUMAN
OG0005235	Em0008g896a, Em0017g465a	sp|Q8N448|LNX2_HUMAN, sp|Q8TBB1|LNX1_HUMAN
OG0005236	Em0023g406a	sp|O14495|PLPP3_HUMAN, sp|O14494|PLPP1_HUMAN, sp|O43688|PLPP2_HUMAN
OG0005237	Em0020g865a	sp|Q5TIA1|MEI1_HUMAN
OG0005238	Em0015g324a, Em0015g325a	sp|Q9HAP2|MLXIP_HUMAN, sp|Q9NP71|MLXPL_HUMAN
OG0005239	Em0015g764a	sp|Q96A54|PAQR1_HUMAN, sp|Q86V24|PAQR2_HUMAN
OG0005240	Em0015g42a, Em0015g38a	sp|P25098|ARBK1_HUMAN, sp|P35626|ARBK2_HUMAN
OG0005241	Em1069g3a, Em0088g3a, Em0015g348a	sp|Q92560|BAP1_HUMAN
OG0005242	Em0015g695a	sp|Q9UQQ2|SH2B3_HUMAN, sp|O14492|SH2B2_HUMAN, sp|Q9NRF2|SH2B1_HUMAN
OG0005243	Em0032g31a, Em0032g39a	sp|P06730|IF4E_HUMAN, sp|A6NMX2|I4E1B_HUMAN
OG0005244	Em0002g39a	sp|Q9H2I8|LRMDA_HUMAN
OG0005245	Em0015g284a, Em0015g66a	sp|Q969N2|PIGT_HUMAN
OG0005246	Em0015g212a, Em0015g228a	sp|Q96LL9|DJC30_HUMAN
OG0005247	Em0001g1211a, Em0001g1272a	sp|Q14012|KCC1A_HUMAN, sp|Q8IU85|KCC1D_HUMAN
OG0005249	Em0023g497a, Em0023g494a	sp|Q1HG44|DOXA2_HUMAN, sp|Q1HG43|DOXA1_HUMAN
OG0005250	Em0017g127a	sp|P30838|AL3A1_HUMAN, sp|P51648|AL3A2_HUMAN
OG0005251	Em0001g332a	sp|O75891|AL1L1_HUMAN, sp|Q3SY69|AL1L2_HUMAN
OG0005252	Em0007g938a	sp|Q9NXG2|THUM1_HUMAN
OG0005253	Em0015g280a, Em0015g272a	sp|O43147|SGSM2_HUMAN, sp|Q2NKQ1|SGSM1_HUMAN
OG0005254	Em0019g719a	sp|Q9H5X1|CIA2A_HUMAN
OG0005255	Em0018g576a	sp|O60337|MARH6_HUMAN
OG0005256	Em0001g34a, Em0001g18a	sp|Q9BVL4|SELO_HUMAN
OG0005257	Em0571g5a, Em0019g1195a, Em1189g1a	sp|Q14919|NC2A_HUMAN
OG0005259	Em0001g1046a	sp|Q96N23|CFA54_HUMAN
OG0005261	Em0337g4a, Em0018g1221a, Em0018g1200a	sp|Q99547|MPH6_HUMAN
OG0005263	Em0013g127a, Em0735g1a, Em0013g132a	sp|Q8NC60|NOA1_HUMAN
OG0005264	Em0021g593a	sp|Q9UL03|INT6_HUMAN, sp|Q5JSJ4|INT6L_HUMAN
OG0005265	Em0017g944a	sp|P12004|PCNA_HUMAN
OG0005266	Em0853g6a, Em0021g732a, Em0021g743a	sp|Q8TEB9|RHBL4_HUMAN
OG0005267	Em0022g290a	sp|Q8NEB9|PK3C3_HUMAN
OG0005268	Em1189g2a, Em0019g1196a, Em0571g4a	sp|Q96G97|BSCL2_HUMAN
OG0005270	Em0018g1005a	sp|Q96QK1|VPS35_HUMAN
OG0005271	Em0018g923a, Em0018g932a	sp|O14818|PSA7_HUMAN, sp|Q8TAA3|PSMA8_HUMAN
OG0005272	Em0013g166a	sp|Q9BZ23|PANK2_HUMAN, sp|Q9H999|PANK3_HUMAN, sp|Q8TE04|PANK1_HUMAN
OG0005273	Em0735g2a, Em0013g126a, Em0013g131a	sp|Q9H267|VP33B_HUMAN
OG0005274	Em0018g1199a, Em0018g1222a, Em0337g3a	sp|Q6YI46|TMM64_HUMAN
OG0005275	Em0013g307a, Em0013g287a	sp|O94804|STK10_HUMAN, sp|Q9H2G2|SLK_HUMAN
OG0005276	Em0013g136a, Em0013g133a, Em0013g128a	sp|O00567|NOP56_HUMAN
OG0005277	Em0019g871a, Em0019g868a	sp|Q9NR09|BIRC6_HUMAN
OG0005278	Em0005g89a	sp|P43686|PRS6B_HUMAN
OG0005279	Em0001g3279a, Em0001g3297a	sp|Q9NX63|MIC19_HUMAN, sp|Q9BRQ6|MIC25_HUMAN
OG0005280	Em0019g1123a	sp|Q92623|TTC9A_HUMAN, sp|Q8N6N2|TTC9B_HUMAN, sp|Q8N5M4|TTC9C_HUMAN
OG0005281	Em0004g142a	sp|O95466|FMNL1_HUMAN, sp|Q96PY5|FMNL2_HUMAN, sp|Q8IVF7|FMNL3_HUMAN
OG0005282	Em0019g566a, Em0019g557a	sp|Q9P003|CNIH4_HUMAN
OG0005283	Em0004g1513a, Em0065g21a	sp|Q8TEW0|PARD3_HUMAN, sp|Q8TEW8|PAR3L_HUMAN
OG0005284	Em0023g48a, Em0786g2a	sp|O60701|UGDH_HUMAN
OG0005285	Em0337g6a, Em0018g1203a, Em0018g1218a	sp|Q8N9A8|NEPR1_HUMAN
OG0005286	Em0004g1705a, Em0004g1706a	sp|Q8IW41|MAPK5_HUMAN
OG0005287	Em0008g620a, Em0008g619a, Em0008g700a	sp|P21549|SPYA_HUMAN
OG0005289	Em0021g298a, Em0013g384a, Em0021g297a	sp|Q16611|BAK_HUMAN
OG0005290	Em0016g560a	sp|P62847|RS24_HUMAN
OG0005291	Em0022g361a	sp|Q96MV8|ZDH15_HUMAN, sp|Q5W0Z9|ZDH20_HUMAN, sp|Q9UIJ5|ZDHC2_HUMAN
OG0005292	Em0017g952a	sp|P49448|DHE4_HUMAN, sp|P00367|DHE3_HUMAN
OG0005293	Em0004g42a	sp|Q9UEE5|ST17A_HUMAN, sp|O94768|ST17B_HUMAN
OG0005295	Em0013g851a, Em0013g919a, Em0013g893a	sp|Q13098|CSN1_HUMAN
OG0005296	Em0012g993a	sp|Q14689|DIP2A_HUMAN, sp|Q9Y2E4|DIP2C_HUMAN, sp|Q9P265|DIP2B_HUMAN
OG0005297	Em0008g104a	sp|O00142|KITM_HUMAN
OG0005298	Em0022g262a, Em0022g251a	sp|Q13952|NFYC_HUMAN
OG0005299	Em0008g791a, Em0008g789a	sp|Q9HCE6|ARGAL_HUMAN, sp|O15013|ARHGA_HUMAN
OG0005300	Em0258g12a, Em0258g1a	sp|Q6ZMW3|EMAL6_HUMAN, sp|Q05BV3|EMAL5_HUMAN
OG0005302	Em0009g692a	sp|P00439|PH4H_HUMAN
OG0005303	Em0022g518a	sp|Q86XL3|ANKL2_HUMAN
OG0005304	Em0006g1435a, Em0006g1432a	sp|Q93063|EXT2_HUMAN, sp|Q92935|EXTL1_HUMAN
OG0005305	Em0019g1136a, Em0424g2a, Em0019g1162a	sp|O43708|MAAI_HUMAN
OG0005306	Em0023g22a	sp|O95372|LYPA2_HUMAN, sp|O75608|LYPA1_HUMAN
OG0005307	Em0010g835a	sp|Q9H1D9|RPC6_HUMAN
OG0005308	Em0786g8a	sp|Q9BPU9|B9D2_HUMAN
OG0005309	Em0011g681a	sp|Q4VC39|HIG2B_HUMAN, sp|Q9BW72|HIG2A_HUMAN
OG0005310	Em0012g667a, Em0012g674a	sp|Q9Y2U5|M3K2_HUMAN, sp|Q99759|M3K3_HUMAN
OG0005312	Em0021g65a, Em0021g956a, Em0021g942a	sp|Q96B70|LENG9_HUMAN
OG0005313	Em0004g767a, Em0004g750a, Em0004g765a	sp|Q9UJJ9|GNPTG_HUMAN
OG0005314	Em0022g764a	sp|P54136|SYRC_HUMAN
OG0005315	Em0022g312a, Em0022g309a	sp|Q9BSE2|TMM79_HUMAN
OG0005316	Em0012g70a	sp|Q13283|G3BP1_HUMAN, sp|Q9UN86|G3BP2_HUMAN
OG0005317	Em0021g935a	sp|P10523|ARRS_HUMAN, sp|P49407|ARRB1_HUMAN, sp|P32121|ARRB2_HUMAN
OG0005318	Em0004g143a	sp|Q9NZI8|IF2B1_HUMAN, sp|O00425|IF2B3_HUMAN, sp|Q9Y6M1|IF2B2_HUMAN
OG0005319	Em0012g776a, Em0012g769a	sp|P61158|ARP3_HUMAN, sp|Q9P1U1|ARP3B_HUMAN
OG0005320	Em0002g3a, Em0002g32a, Em0002g10a	sp|Q9H7X0|NAA60_HUMAN
OG0005322	Em0013g116a, Em0013g114a	sp|Q969W1|ZDH16_HUMAN
OG0005323	Em0395g5a, Em0021g852a	sp|Q8N5F7|NKAP_HUMAN, sp|Q5M9Q1|NKAPL_HUMAN
OG0005324	Em0001g1140a, Em0001g1230a	sp|Q9BUR4|TCAB1_HUMAN
OG0005325	Em0013g1054a, Em0013g1071a, Em0651g2a	sp|Q8NHV4|NEDD1_HUMAN
OG0005327	Em0004g776a, Em0004g756a	sp|Q2TBE0|C19L2_HUMAN
OG0005328	Em0013g145a	sp|Q9UI47|CTNA3_HUMAN, sp|P35221|CTNA1_HUMAN, sp|P26232|CTNA2_HUMAN
OG0005329	Em0012g15a, Em0012g40a	sp|Q9UQ80|PA2G4_HUMAN
OG0005330	Em0014g18a	sp|Q86WH2|RASF3_HUMAN, sp|Q9NS23|RASF1_HUMAN, sp|Q8WWW0|RASF5_HUMAN
OG0005331	Em0020g689a	sp|Q9UKB3|DJC12_HUMAN
OG0005332	Em0395g7a, Em0021g850a	sp|Q8TBM7|TM254_HUMAN
OG0005333	Em0013g950a, Em0013g948a	sp|Q6NUI2|GPAT2_HUMAN, sp|Q9HCL2|GPAT1_HUMAN
OG0005334	Em0017g790a	sp|Q92900|RENT1_HUMAN
OG0005335	Em0404g5a, Em0004g2a, Em0004g10a	sp|O15144|ARPC2_HUMAN
OG0005336	Em0020g312a, Em0004g141a	sp|Q7Z736|PKHH3_HUMAN, sp|Q9HD67|MYO10_HUMAN
OG0005337	Em0021g943a, Em0021g957a	sp|Q9Y5K3|PCY1B_HUMAN, sp|P49585|PCY1A_HUMAN
OG0005338	Em0008g1072a	sp|O95619|YETS4_HUMAN
OG0005339	Em0005g662a	sp|Q09328|MGT5A_HUMAN, sp|Q3V5L5|MGT5B_HUMAN, sp|Q96EE4|CC126_HUMAN
OG0005342	Em0001g1754a	sp|Q9UBJ2|ABCD2_HUMAN, sp|P33897|ABCD1_HUMAN
OG0005343	Em0001g503a, Em0001g504a, Em0001g539a	sp|Q07507|DERM_HUMAN
OG0005344	Em0001g2004a, Em0001g2035a, Em0017g282a	sp|P42357|HUTH_HUMAN
OG0005347	Em0010g904a, Em0010g927a	sp|P33316|DUT_HUMAN
OG0005348	Em0020g956a, Em0020g962a	sp|Q53H64|AK40L_HUMAN, sp|Q6AI12|ANR40_HUMAN
OG0005350	Em0001g1554a, Em0001g1548a	sp|Q86W33|TPRA1_HUMAN
OG0005351	Em0020g278a, Em0020g280a	sp|Q14558|KPRA_HUMAN, sp|O60256|KPRB_HUMAN
OG0005352	Em0001g296a	sp|Q99956|DUS9_HUMAN, sp|Q16829|DUS7_HUMAN, sp|Q16828|DUS6_HUMAN
OG0005353	Em0020g552a	sp|Q9Y535|RPC8_HUMAN
OG0005354	Em0021g772a	sp|Q14722|KCAB1_HUMAN, sp|O43448|KCAB3_HUMAN, sp|Q13303|KCAB2_HUMAN
OG0005355	Em0016g530a	sp|A4D0S4|LAMB4_HUMAN, sp|P55268|LAMB2_HUMAN, sp|P07942|LAMB1_HUMAN
OG0005356	Em0001g2871a, Em0001g2868a, Em0001g2866a	sp|P51149|RAB7A_HUMAN
OG0005358	Em0020g961a, Em0020g955a	sp|Q9UBX3|DIC_HUMAN
OG0005359	Em0001g1571a	sp|Q13825|AUHM_HUMAN
OG0005359	Em0001g1568a	sp|Q86YB7|ECHD2_HUMAN
OG0005360	Em0047g7a, Em0014g5a	sp|Q6UXN9|WDR82_HUMAN
OG0005361	Em0004g1644a	sp|O15084|ANR28_HUMAN, sp|Q8NB46|ANR52_HUMAN, sp|Q8N8A2|ANR44_HUMAN
OG0005362	Em0020g839a	sp|Q15311|RBP1_HUMAN
OG0005363	Em0020g161a, Em0020g159a, Em0012g462a	sp|O43149|ZZEF1_HUMAN
OG0005366	Em0020g749a, Em0020g741a	sp|O43934|MFS11_HUMAN
OG0005367	Em0020g883a	sp|Q9NZ52|GGA3_HUMAN, sp|Q9UJY5|GGA1_HUMAN, sp|Q9UJY4|GGA2_HUMAN
OG0005368	Em0012g856a	sp|P51965|UB2E1_HUMAN, sp|Q96LR5|UB2E2_HUMAN, sp|Q969T4|UB2E3_HUMAN
OG0005370	Em0021g542a	sp|Q14188|TFDP2_HUMAN, sp|Q14186|TFDP1_HUMAN, sp|Q5H9I0|TFDP3_HUMAN
OG0005371	Em0021g918a, Em0021g919a	sp|Q8NFU3|TSTD1_HUMAN, sp|H0UI37|TSTD3_HUMAN
OG0005373	Em0202g7a, Em0964g3a, Em0004g51a	sp|P28799|GRN_HUMAN
OG0005374	Em0004g92a, Em0004g99a	sp|Q9NZN3|EHD3_HUMAN, sp|Q9H4M9|EHD1_HUMAN
OG0005375	Em0211g3a, Em0017g576a	sp|Q13445|TMED1_HUMAN, sp|Q9Y3A6|TMED5_HUMAN
OG0005376	Em0002g41a	sp|O15460|P4HA2_HUMAN, sp|P13674|P4HA1_HUMAN
OG0005377	Em0018g350a, Em0200g4a	sp|P36959|GMPR1_HUMAN, sp|Q9P2T1|GMPR2_HUMAN
OG0005378	Em0002g445a	sp|P61086|UBE2K_HUMAN, sp|Q2M2I8|AAK1_HUMAN
OG0005379	Em0018g123a, Em0018g110a	sp|Q8ND25|ZNRF1_HUMAN, sp|Q8NHG8|ZNRF2_HUMAN
OG0005382	Em0068g14a, Em0004g1010a, Em0068g13a	sp|Q15648|MED1_HUMAN
OG0005383	Em0018g497a	sp|Q15645|PCH2_HUMAN, sp|Q8IZU8|DSEL_HUMAN, sp|Q9UL01|DSE_HUMAN
OG0005384	Em0010g907a	sp|P09104|ENOG_HUMAN, sp|P13929|ENOB_HUMAN, sp|P06733|ENOA_HUMAN
OG0005385	Em0014g183a	sp|A8MWE9|EFCB8_HUMAN, sp|Q8IV35|WDR49_HUMAN
OG0005386	Em0009g793a, Em0009g809a	sp|Q9NPE2|NGRN_HUMAN
OG0005387	Em0009g789a, Em0009g805a	sp|Q9UHA3|RLP24_HUMAN
OG0005388	Em0015g977a	sp|Q9UHW5|GPN3_HUMAN
OG0005389	Em0010g885a	sp|Q6ZS72|PEAK3_HUMAN, sp|Q86YV5|PRAG1_HUMAN, sp|Q9H792|PEAK1_HUMAN
OG0005390	Em0002g256a	sp|Q9BX66|SRBS1_HUMAN, sp|O60504|VINEX_HUMAN, sp|O94875|SRBS2_HUMAN
OG0005391	Em0021g774a	sp|Q9NUK0|MBNL3_HUMAN, sp|Q5VZF2|MBNL2_HUMAN, sp|Q9NR56|MBNL1_HUMAN
OG0005393	Em0200g1a, Em0018g351a, Em0200g3a	sp|Q96DV4|RM38_HUMAN
OG0005395	Em1034g4a, Em0014g132a	sp|Q96P70|IPO9_HUMAN
OG0005396	Em0014g3a, Em0047g9a	sp|O95568|MET18_HUMAN
OG0005398	Em0016g547a	sp|Q9HC21|TPC_HUMAN
OG0005399	Em0022g316a	sp|Q9Y6I3|EPN1_HUMAN, sp|O95208|EPN2_HUMAN
OG0005400	Em0009g1124a	sp|Q92546|RGP1_HUMAN
OG0005401	Em0022g739a	sp|Q9NWY4|HPF1_HUMAN, sp|A8MVJ9|HPF1L_HUMAN
OG0005403	Em0018g157a, Em0018g156a	sp|P29218|IMPA1_HUMAN, sp|O14732|IMPA2_HUMAN
OG0005404	Em0018g1158a	sp|P61225|RAP2B_HUMAN, sp|Q9Y3L5|RAP2C_HUMAN, sp|P10114|RAP2A_HUMAN
OG0005405	Em0017g88a	sp|P21283|VATC1_HUMAN, sp|Q8NEY4|VATC2_HUMAN
OG0005406	Em0005g1209a, Em0005g1210a	sp|Q01130|SRSF2_HUMAN, sp|Q9BRL6|SRSF8_HUMAN
OG0005407	Em0002g1605a	sp|P48454|PP2BC_HUMAN, sp|Q08209|PP2BA_HUMAN, sp|P16298|PP2BB_HUMAN
OG0005421	Em0001g1303a, Em0001g1585a, Em0001g1179a, Em0007g1538a, Em0001g1308a	sp|O60290|ZN862_HUMAN
OG0005430	Em0005g1116a, Em0001g2013a, Em0001g1965a, Em0005g1427a, Em0019g125a	sp|Q96RQ9|OXLA_HUMAN
OG0005432	Em0001g2385a, Em0001g2387a, Em0001g2386a, Em0021g251a, Em0021g250a	sp|Q9UBY8|CLN8_HUMAN
OG0005509	Em0011g23a	sp|Q52LJ0|FA98B_HUMAN, sp|Q8NCA5|FA98A_HUMAN, sp|Q17RN3|FA98C_HUMAN
OG0005510	Em1162g1a, Em0011g50a	sp|O14522|PTPRT_HUMAN, sp|P28827|PTPRM_HUMAN, sp|Q92729|PTPRU_HUMAN, sp|Q15262|PTPRK_HUMAN
OG0005513	Em0012g1088a	sp|O75366|AVIL_HUMAN, sp|P09327|VILI_HUMAN, sp|O15195|VILL_HUMAN, sp|Q9Y6U3|ADSV_HUMAN, sp|P06396|GELS_HUMAN
OG0005517	Em0013g293a, Em0013g301a	sp|Q8WU08|ST32A_HUMAN, sp|Q86UX6|ST32C_HUMAN, sp|Q9NY57|ST32B_HUMAN
OG0005518	Em0014g26a, Em0014g24a	sp|Q8WTP8|AEN_HUMAN, sp|Q96AZ6|ISG20_HUMAN
OG0005518	Em0017g184a	sp|Q9GZR2|REXO4_HUMAN
OG0005523	Em0016g1033a, Em0016g1036a	sp|O95461|LARG1_HUMAN, sp|Q8N3Y3|LARG2_HUMAN
OG0005524	Em0016g1041a	sp|P08123|CO1A2_HUMAN, sp|P05997|CO5A2_HUMAN, sp|P02461|CO3A1_HUMAN, sp|P02458|CO2A1_HUMAN, sp|P02452|CO1A1_HUMAN
OG0005525	Em0016g1114a, Em0016g1182a, Em0531g7a	sp|Q8NE62|CHDH_HUMAN
OG0005728	Em0005g1239a	sp|Q7Z4G4|TRM11_HUMAN
OG0005734	Em0012g466a	sp|Q8TBC4|UBA3_HUMAN
OG0005737	Em0017g953a	sp|Q6V0I7|FAT4_HUMAN
OG0005738	Em0011g803a	sp|Q6NUM9|RETST_HUMAN
OG0005740	Em0011g536a	sp|Q92889|XPF_HUMAN
OG0005743	Em0019g239a	sp|Q7L592|NDUF7_HUMAN
OG0005744	Em0008g1008a	sp|Q9ULP9|TBC24_HUMAN
OG0005749	Em0017g960a	sp|P48444|COPD_HUMAN
OG0005751	Em0019g210a	sp|Q9H1A4|APC1_HUMAN
OG0005752	Em0016g18a	sp|Q92665|RT31_HUMAN
OG0005757	Em0008g1220a	sp|Q9NTJ3|SMC4_HUMAN
OG0005762	Em0018g429a	sp|Q6ZN54|DEFI8_HUMAN
OG0005763	Em0022g465a	sp|Q8WVJ2|NUDC2_HUMAN
OG0005767	Em0013g703a	sp|Q8N3P4|VPS8_HUMAN
OG0005768	Em0023g773a	sp|O75417|DPOLQ_HUMAN
OG0005769	Em0011g792a	sp|Q8WWF8|CAPSL_HUMAN
OG0005770	Em0021g562a	sp|Q9Y388|RBMX2_HUMAN
OG0005771	Em0002g1840a	sp|Q9H6R6|ZDHC6_HUMAN
OG0005773	Em0004g998a	sp|Q9NQS7|INCE_HUMAN
OG0005774	Em0011g1159a	sp|Q9UPU5|UBP24_HUMAN
OG0005775	Em0020g688a	sp|Q9Y592|CEP83_HUMAN
OG0005789	Em0018g52a	sp|Q9UPQ8|DOLK_HUMAN
OG0005799	Em0003g847a, Em0003g844a, Em0003g843a	sp|Q9BW19|KIFC1_HUMAN
OG0005800	Em0001g3792a	sp|Q6ZVT6|CF20D_HUMAN
OG0005803	Em0023g383a	sp|Q8NEN0|ARMC2_HUMAN
OG0005815	Em0018g39a	sp|P33991|MCM4_HUMAN
OG0005817	Em0020g240a	sp|P22695|QCR2_HUMAN
OG0005820	Em0023g197a	sp|Q9C0D9|EPT1_HUMAN
OG0005822	Em0011g155a	sp|Q8TEK3|DOT1L_HUMAN
OG0005825	Em0022g440a	sp|Q9NWU5|RM22_HUMAN
OG0005826	Em0005g1488a	sp|Q6IEG0|SNR48_HUMAN
OG0005828	Em0008g1107a	sp|Q8N766|EMC1_HUMAN
OG0005832	Em0020g199a	sp|Q9HBR0|S38AA_HUMAN
OG0005849	Em0005g1164a	sp|Q53T59|H1BP3_HUMAN
OG0005854	Em0022g362a	sp|Q6ZNB6|NFXL1_HUMAN
OG0005856	Em0018g543a	sp|P32780|TF2H1_HUMAN
OG0005859	Em0013g279a	sp|Q3B7T1|EDRF1_HUMAN
OG0005864	Em0004g959a	sp|Q9NZ42|PEN2_HUMAN
OG0005865	Em0005g1665a	sp|Q9P0U4|CXXC1_HUMAN
OG0005866	Em0021g968a	sp|Q9BY08|EBPL_HUMAN
OG0005867	Em0012g1048a	sp|P55786|PSA_HUMAN
OG0005868	Em0016g1027a	sp|Q9H2H8|PPIL3_HUMAN
OG0005890	Em0010g892a	sp|O60925|PFD1_HUMAN
OG0005892	Em0013g490a	sp|A6NNW6|ENO4_HUMAN
OG0005895	Em0023g704a	sp|Q96A49|SYAP1_HUMAN
OG0005896	Em0021g902a	sp|Q9BRQ4|CF300_HUMAN
OG0005902	Em0016g1100a, Em0016g1082a	sp|O94967|WDR47_HUMAN
OG0005908	Em0014g27a	sp|Q9P0I2|EMC3_HUMAN
OG0005910	Em0010g174a	sp|Q8NBP5|MFSD9_HUMAN
OG0005912	Em0019g561a, Em0019g570a	sp|Q9NVH2|INT7_HUMAN
OG0005913	Em0016g120a	sp|Q96SN8|CK5P2_HUMAN
OG0005915	Em0004g57a	sp|Q13439|GOGA4_HUMAN
OG0005917	Em0008g1029a	sp|O75127|PTCD1_HUMAN
OG0005918	Em0009g119a	sp|Q9Y2Z2|MTO1_HUMAN
OG0005923	Em0008g624a	sp|Q99720|SGMR1_HUMAN
OG0005924	Em0006g619a	sp|P10746|HEM4_HUMAN
OG0005930	Em0011g120a	sp|P56282|DPOE2_HUMAN
OG0005932	Em0023g404a	sp|Q9UGP8|SEC63_HUMAN
OG0005943	Em0015g53a	sp|Q53FA7|QORX_HUMAN
OG0005947	Em0011g447a	sp|Q8TB45|DPTOR_HUMAN
OG0005951	Em0016g536a	sp|Q8IYB7|DI3L2_HUMAN
OG0005953	Em0018g808a	sp|P61970|NTF2_HUMAN
OG0005957	Em0003g813a	sp|Q9Y6N9|USH1C_HUMAN
OG0005962	Em0016g383a	sp|Q9H3K2|GHITM_HUMAN
OG0005964	Em0010g261a	sp|Q68CL5|TPGS2_HUMAN
OG0005969	Em0020g994a, Em0714g1a	sp|A6NCI4|VWA3A_HUMAN
OG0005970	Em0010g260a	sp|O75534|CSDE1_HUMAN
OG0005971	Em0011g28a	sp|Q15397|PUM3_HUMAN
OG0005972	Em0012g1096a	sp|P05455|LA_HUMAN
